Crossovers From Below 
Day 0, Day 0 Return, Day 1, Day 1 Return 
9.67, 1.0420258620689655, 9.78, 0.958048780487805 
9.82, 0.958048780487805, 9.55, 0.9813176007866273 
9.98, 0.9813176007866273, 10.02, 0.9920159680638723 
9.94, 0.9920159680638723, 10.09, 0.9720558882235529 
9.74, 0.9720558882235529, 9.82, 0.9771144278606965 
9.82, 0.9771144278606965, 9.71, 0.9695181907571288 
9.86, 0.9695181907571288, 9.44, 0.9736585365853659 
9.98, 0.9736585365853659, 9.67, 0.9408396946564884 
9.86, 0.9408396946564884, 10.18, 0.9697855750487329 
9.95, 0.9697855750487329, 9.75, 1.010752688172043 
7.52, 1.010752688172043, 7.56, 1.0053475935828875 
7.52, 1.0053475935828875, 7.52, 1.0172661870503596 
7.07, 1.0172661870503596, 7.07, 1.0219298245614035 
6.99, 1.0219298245614035, 7.18, 1.0327380952380953 
