Crossovers From Above 
Day 0, Day 0 Return, Day 1, Day 1 Return 
9.55, 0.9916926272066459, 9.43, 1.0276073619631902 
10.05, 1.0276073619631902, 10.25, 1.0230460921843687 
10.21, 1.0230460921843687, 10.17, 1.0040080160320641 
10.02, 1.0040080160320641, 9.94, 1.0150905432595574 
10.09, 1.0150905432595574, 10.09, 1.0276073619631902 
10.05, 1.0276073619631902, 10.05, 1.020366598778004 
10.02, 1.020366598778004, 10.17, 1.0191146881287727 
10.13, 1.0191146881287727, 10.09, 1.011066398390342 
10.05, 1.011066398390342, 10.13, 1.0324543610547667 
10.18, 1.0324543610547667, 10.1, 0.9700130378096481 
7.44, 0.9700130378096481, 7.52, 0.9894179894179895 
7.48, 0.9894179894179895, 7.52, 0.952054794520548 
6.95, 0.952054794520548, 7.07, 0.9618104667609617 
